Date,tmin,tmean,tmax,ppt
9/1/2014,23.8,28.3,32.9,0
9/2/2014,24.2,28.4,32.7,0
9/3/2014,24.1,28.9,33.7,0.13
9/4/2014,23.6,27.9,32.3,0.08
9/5/2014,22.6,27,31.3,0.03
9/6/2014,22.3,27.2,32.1,2.95
9/7/2014,22.9,27.5,32.2,1.99
9/8/2014,23.5,27.8,32.2,1.38
9/9/2014,23,26.4,29.9,20.29
9/10/2014,23.8,27.4,31.1,12.26
9/11/2014,23.8,27.3,30.9,2.78
9/12/2014,24.1,28.2,32.2,0
9/13/2014,23.7,28.1,32.4,0
9/14/2014,22.2,27.6,33,17.55
9/15/2014,23,27.5,32,3.55
9/16/2014,23.9,27.5,31.1,0
9/17/2014,21.4,25.6,29.8,18.9
9/18/2014,21.4,26,30.6,0
9/19/2014,23.4,27.1,30.7,2.4
9/20/2014,20.5,24.9,29.3,0
9/21/2014,19.8,24.3,28.8,0
9/22/2014,19.1,24.6,30.1,0
9/23/2014,16.1,23.9,31.7,19.5
9/24/2014,16.6,21.9,27.3,0
9/25/2014,17,22.7,28.4,0
9/26/2014,15.9,19.7,23.4,0
9/27/2014,17.1,22.2,27.2,0
9/28/2014,21.3,23.7,26.2,0
9/29/2014,22.7,24.3,26,7.51
9/30/2014,21,24.2,27.5,4.82
10/1/2014,18.3,22.3,26.2,0
10/2/2014,19.8,24.2,28.6,0
10/3/2014,23.2,26.2,29.1,2.38
10/4/2014,16.4,22.4,28.3,9.08
10/5/2014,8.7,15.7,22.7,0
10/6/2014,11.4,17,22.6,0
10/7/2014,15.2,20.8,26.5,0
10/8/2014,18.4,23.4,28.4,0
10/9/2014,17.8,23.6,29.4,0
10/10/2014,18.8,23.9,29,0
10/11/2014,18.5,23.8,29,0
10/12/2014,19.2,24.4,29.5,0
10/13/2014,21.3,25.2,29.1,0
10/14/2014,20.9,24.9,29,71.09
10/15/2014,13.9,19.1,24.4,0.06
10/16/2014,12.1,18.3,24.5,0
10/17/2014,10,17.6,25.1,0
10/18/2014,13.3,19.8,26.3,0
10/19/2014,12.8,20.3,27.8,0
10/20/2014,11.1,17.6,24.2,0
10/21/2014,11.9,18.4,25,0
10/22/2014,13.1,19.9,26.7,0
10/23/2014,9.2,17.4,25.6,0
10/24/2014,10.6,16.9,23.2,0
10/25/2014,9.8,17,24.2,0
10/26/2014,11.7,18.8,25.8,0
10/27/2014,13.7,20.3,26.8,0
10/28/2014,15.1,21.1,27.1,0
10/29/2014,16.5,21.8,27,0
10/30/2014,15.6,21.3,27,3.88
10/31/2014,8.1,15.4,22.7,0
11/1/2014,5,14.3,23.6,0
11/2/2014,2.2,8.6,15,0
11/3/2014,3.1,11.2,19.2,0
11/4/2014,6.5,13,19.5,0
11/5/2014,9.5,16.1,22.8,0
11/6/2014,15.6,20.1,24.7,0
11/7/2014,8.6,17,25.5,0.87
11/8/2014,7.1,12.6,18,0
11/9/2014,7.4,11.3,15.1,0
11/10/2014,6.2,13.5,20.8,0
11/11/2014,6.9,14.1,21.4,0
11/12/2014,8.6,15.9,23.1,0
11/13/2014,9.7,16.7,23.7,0
11/14/2014,1.1,5.5,9.8,0.53
11/15/2014,0.2,5.9,11.6,0
11/16/2014,1.4,7.6,13.9,0
11/17/2014,10.4,16.4,22.3,9.28
11/18/2014,-1.5,10.3,22.1,1.35
11/19/2014,-3.8,1.9,7.5,0
11/20/2014,-2.7,4.6,11.8,0
11/21/2014,1.6,9.7,17.8,0
11/22/2014,6,13.3,20.7,0
11/23/2014,10.8,15.2,19.7,16.35
11/24/2014,17.3,20,22.8,19.33
11/25/2014,12.6,18.7,24.9,0.36
11/26/2014,5,8.6,12.3,3.54
11/27/2014,4.6,10.6,16.6,0
11/28/2014,0.9,8,15.1,0
11/29/2014,1.1,7.3,13.4,0
11/30/2014,4.5,11.6,18.6,0
12/1/2014,9.8,15.7,21.7,0
12/2/2014,10.1,16.6,23.2,0
12/3/2014,12.1,18.1,24.1,0
12/4/2014,13.1,18.2,23.4,0
12/5/2014,12.7,18.1,23.6,0
12/6/2014,15,18.9,22.9,0
12/7/2014,10.2,17.2,24.2,3.48
12/8/2014,9.8,14.1,18.4,0
12/9/2014,2.8,9.6,16.5,0
