Date,Direction of Travel,Species
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/2/2010,IN,
11/2/2010,OUT,
11/3/2010,IN,GASCAR
11/3/2010,IN,ACRGRY
11/3/2010,IN,BUFTER
11/3/2010,IN,GASCAR
11/3/2010,IN,EURQUA
11/3/2010,OUT,BUFTER
11/3/2010,IN,BUFTER
11/3/2010,,
11/3/2010,,
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,EURQUA
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,ACRGRY
11/4/2010,OUT,AMBBIS
11/4/2010,OUT,AMBBIS
11/4/2010,OUT,AMBBIS
11/4/2010,OUT,AMBBIS
11/4/2010,OUT,AMBBIS
11/4/2010,OUT,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,OUT,AMBBIS
11/4/2010,OUT,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,IN,AMBBIS
11/4/2010,,
11/5/2010,OUT,AMBBIS
11/5/2010,OUT,AMBBIS
11/5/2010,,
11/5/2010,,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/5/2010,IN,
11/5/2010,OUT,
11/11/2010,OUT,ACRGRY
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,
11/11/2010,OUT,
11/11/2010,IN,ELAGUT
11/11/2010,OUT,ACRGRY
11/12/2010,IN,CRYPAR
11/12/2010,IN,COLCON
11/12/2010,IN,THASIR
11/12/2010,,
11/13/2010,,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/14/2010,IN,
11/14/2010,OUT,
11/15/2010,IN,
11/15/2010,OUT,
11/15/2010,IN,
11/15/2010,OUT,
11/15/2010,IN,
11/15/2010,OUT,
11/15/2010,IN,
11/15/2010,OUT,
11/15/2010,IN,
11/15/2010,OUT,
11/15/2010,IN,
11/15/2010,OUT,
11/15/2010,IN,
11/15/2010,OUT,
11/15/2010,IN,
11/15/2010,OUT,
11/15/2010,IN,
11/15/2010,OUT,
11/15/2010,IN,
11/15/2010,OUT,
11/15/2010,IN,
